actor_id,actor_name
6h12pZsgj3WWjMtykUgfLkLEBWz,Jack Nicholson
3YeyORYXfhIOEDtfUbrkMF9qEjf,David Morse
6hnYeHa7Rc1w1MmQ3JsLSIb7yCX,Anjelica Huston
nEcQI3B318Tt20z27IYohiQceDA,Demi Moore
hzKy7x574eeUS3wt1R3yvWBRpeR,Alec Baldwin
4U9G4YwTlIEbAymBaseltS38eH4,Joseph Gordon-Levitt
0Aida Mohammadkhani,Aida Mohammadkhani
0Mohsen Kafili,Mohsen Kafili
b81siNuHgUqye37Wyf39ABnv6ZP,Fereshteh Sadr Orafaee
8JehpGGaW6BU5m4e4QURlR8Isg8,Andy García
nxVjpyb3UrfbPZnEyDNlQVlFAs5,Christopher Lloyd
g0vIRDw0FemQlX0HGW94b4Kx8nz,William Forsythe
aXwDoxmfLO7aBvJLDADODBhubqU,Willeke van Ammelrooy
9NmzTbq4Nhwg1HCBX02NksMmAGp,Els Dottermans
q5r8a9p3bdbQqRZR5ohHNJw15y1,Dora van der Groen
qLnfxKvvbjDRtFHDgGS1U9KC9SO,"Al Freeman, Jr."
orbTpG0jaYkPR167TNiEg0AKG3M,Phylicia Rashād
igSDPexYnhoeoiUPp17dOBwwyEd,Paula Kelly
gpnwdLoAbhAKwXQzJ04ga7UeJhs,Mark Rylance
xTEdpGdhEnM7sCx9pJBvCzonjh1,Kristin Scott Thomas
fp8059ZLrCiZFgdhcwHTHHe6kBr,Patsy Kensit
xms1RAY6q7Lzp7wNeRCB0kzhucn,Jeff Bridges
8tsJrfqyTKxzMdWgz74fy5PEQFN,Caroline Goodall
9gOlQ0P6KkGdIk8h0EYCsbtWIL1,John Savage
5a34uLhhHqmeYII984EfaVBh70p,Jason Alexander
pJosGn38UGzAcTMvhvCanbe9cB5,Faye Dunaway
kSnkqyMEqy1UFLX8oiE7HZReLFk,Eric Lloyd
aThcYZHo97pKQkCYVZz6LaRx10L,Chris Farley
8tv638lAMLmYh8bSLICqPzbW3tv,David Spade
trZ4QaDidCOPNy7HK9cYnmKHkg9,Tim Matheson
ilPBHd3r3ahlipNQtjr4E3G04jJ,Johnny Depp
nJX50DbS693ynX2t8Y1RYGF0rE2,Courtney Chase
zX8lrPMMC6Uh1ZrNkcrvempl02X,Charles S. Dutton
pahtuRDpaopvO6rH1RYS2omrO8L,Julia Roberts
5coH0AExljEnbseCXKL4CDOVQj8,John Malkovich
wbDTfmADZzCXrfLZs1CGmxl6JUN,George Cole
qgjMfefsKwSYsyCaIX46uyOXIpy,Eddie Murphy
7Oz53NKdglRzAzI2MKjM3eQXwn,Angela Bassett
fGma6p1NUrb3hYYls4zxneNcyAa,Allen Payne
yc4ZNGM1zsycfQtSDsxOtKdaLgO,Timothy Hutton
wVoSUexYH79igPgxIXKWRlV2uBk,Matt Dillon
uhMuM8QhLqWoQVZBgUBM9QSitcK,Noah Emmerich
mfwIya7uMuJVkriE6xuB9PxKn6,John Travolta
6ww3uweEEXMlvtNjTlgBHxLErPF,Christian Slater
9dixKdjdBUgG8MrlZTpWpy4OQnh,Samantha Mathis
sE5K1f3TW1foDTT6yrGaeW4grun,Michael Maloney
9nMVm8XxelrqBSjvgL93847hv6F,Richard Briers
jmXqOnp2xBDl2EMuU5Rj39uHzUQ,Joan Collins
ykBEiVh6YQ9UmMAYUiQkZBH3VV4,Vincent Cassel
0Hubert Koundé,Hubert Koundé
nn5SkRixPEQD49ttWmqwIPXolFR,Saïd Taghmaoui
